Name,Latitude,Longitude,Parroquia,Tipus,Date,Marker,Link to the inventory,Explore,Level of protection,Link Picture,Image source,Id_culture,Property,Style,Historical Periods,Visitable,Visible online,Catalog code parròquia,Link TripAdvisor,Link Wikipedia,Link parròquia,Link VisitAndorra,Architect- Artist,Notes
Torre dels Moros (Castell de les Bons),42.539335,1.587093,Encamp,defense tower,1200-1500,,http://www.cultura.ad/banc/Cerca3_Inventari.php?id=42,"https://www.google.com/maps/@42.5392719,1.5870648,3a,75y,35.78h,117.58t/data=!3m7!1e1!3m5!1s2pf-p7XxZrsAAAQfCT_vBg!2e0!3e2!7i13312!8i6656",BIC Monuments,http://www.cultura.ad/banc/img/Grans/30.jpg,Patrimoni Cultural d'Andorra,42,Public,,Middle Ages: AD 500-1492 (6th to 15th century),Yes,Visible,BIC-1,,https://ca.wikipedia.org/wiki/Castell_de_les_Bons,http://www.encamp.ad/que-fer/cultura/esglesies/conjunt-historic-de-les-bons,http://visitandorra.com/en/culture/the-les-bons-historical-complex/,,
Ràdio Andorra,42.528774,1.569813,Encamp,radio station,1938,,http://www.cultura.ad/banc/Cerca3_Inventari.php?id=80,,BI,http://www.cultura.ad/banc/img/Grans/69.jpg,Patrimoni Cultural d'Andorra,80,Public,Granite Architecture,Late modern period: 1793-1970 (19th to 20th century aprox.),No,Visible,BI-1,,https://ca.wikipedia.org/wiki/R%C3%A0dio_Andorra,http://www.encamp.ad/que-fer/cultura/itineraris-culturals/itinerari-d-encamp-i-vila,,,
Central de FHASA,42.51507,1.553526,Encamp,hydroelectric power station,1931-1934,,http://www.cultura.ad/banc/Cerca3_Inventari.php?id=81,,BI,http://www.cultura.ad/banc/img/Grans/70.jpg,Patrimoni Cultural d'Andorra,81,Public,Granite Architecture,Late modern period: 1793-1970 (19th to 20th century aprox.),No,Visible,BI-6,,https://en.wikipedia.org/wiki/Escaldes_Hydroelectric_Power_Station,,,,
Mur de la carretera a l'alçada de FEDA,42.51481,1.553675,Encamp,road wall,1929-1933,,http://www.cultura.ad/banc/Cerca3_Inventari.php?id=82,,BI,http://www.cultura.ad/banc/img/Grans/71.jpg,Patrimoni Cultural d'Andorra,82,Public,Granite Architecture,Late modern period: 1793-1970 (19th to 20th century aprox.),Yes,Visible,BI-7,,,,,,
Pont de FHASA,42.515402,1.553436,Encamp,bridge,1929-1933,measle_turquoise,http://www.cultura.ad/banc/Cerca3_Inventari.php?id=83,,BI,http://www.cultura.ad/banc/img/Grans/72.jpg,Patrimoni Cultural d'Andorra,83,Public,Granite Architecture,Late modern period: 1793-1970 (19th to 20th century aprox.),No,Visible,BI-4,,,,,,
Casa dels empleats de FHASA,42.515844,1.55354,Encamp,multi-family housing,1931-1934,,http://www.cultura.ad/banc/Cerca3_Inventari.php?id=84,,BI,http://www.cultura.ad/banc/img/Grans/73.jpg,Patrimoni Cultural d'Andorra,84,Public,Granite Architecture,Late modern period: 1793-1970 (19th to 20th century aprox.),No,Visible,BI-3,,https://ca.wikipedia.org/wiki/Casa_dels_empleats_de_FHASA,,,,
Central auxiliar de FHASA,42.5152,1.552733,Encamp,hydroelectric power station,1929,,http://www.cultura.ad/banc/Cerca3_Inventari.php?id=85,,BI,http://www.cultura.ad/banc/img/Grans/74.jpg,Patrimoni Cultural d'Andorra,85,Public,Granite Architecture,Late modern period: 1793-1970 (19th to 20th century aprox.),No,Visible,BI-5,,,,,,
Presa d'Engolasters,42.518389,1.565847,Encamp,dam,1931-1934,,http://www.cultura.ad/banc/Cerca3_Inventari.php?id=86,,BI,http://www.cultura.ad/banc/img/Grans/76.jpg,Patrimoni Cultural d'Andorra,86,Public,,Late modern period: 1793-1970 (19th to 20th century aprox.),Yes,Visible,BI-2,,,,,,
Balma del Llunci,42.52800867,1.566712345,Encamp,balma,2300-650 BC,,http://www.cultura.ad/banc/Cerca3_Inventari.php?id=126,,BIC Archaeological Sites,http://www.cultura.ad/banc/img/Grans/114.jpg,Patrimoni Cultural d'Andorra,126,Public,,Bronze Age:   2.500 BC -  650 BC,No,invisible,EN-018,,,,,,
Emissora de Sud-Radio,42.534975,1.717026,Encamp,radio station,1964,,http://www.cultura.ad/banc/Cerca3_Inventari.php?id=141,,BI,http://www.cultura.ad/banc/img/Grans/130.jpg,Patrimoni Cultural d'Andorra,141,Public,,Late modern period: 1793-1970 (19th to 20th century aprox.),No,Visible,BCP-83,,,,,,
Colomer de Cotxa,42.538905,1.586542,Encamp,dovecote,1500-1700,,http://www.cultura.ad/banc/Cerca3_Inventari.php?id=148,,BI,http://www.cultura.ad/banc/img/Grans/137.jpg,Patrimoni Cultural d'Andorra,148,Private,vernacular architecture,Early modern period: 1492-1793 (16th to 18th century),No,Visible,BCP-8,,,http://www.encamp.ad/que-fer/cultura/itineraris-culturals/itinerari-de-les-bons,,,
Cal Cristo,42.5352,1.582451,Encamp,house,1700-1900,,http://www.cultura.ad/banc/Cerca3_Inventari.php?id=175,"https://www.google.com/maps/place/Casa+Cristo,+museu+etnogr%C3%A0fic/@42.5351178,1.5823997,3a,75y,214h,90t/data=!3m6!1e1!3m4!1sLDsU95yRnL0AAAQfCTgR4w!2e0!7i13312!8i6656!4m5!3m4!1s0x12a58a0c758b943b:0xb35b4dd1b7a6fb8e!8m2!3d42.5351509!4d1.5824273!6m1!1e1",BI,http://www.cultura.ad/banc/img/Grans/179.jpg,Patrimoni Cultural d'Andorra,175,Public,vernacular architecture,"Early modern period: 1492-1793 (16th to 18th century), Late modern period: 1793-1970 (19th to 20th century aprox.)",Yes,Visible,,https://www.tripadvisor.com/Attraction_Review-g2385338-d2384968-Reviews-Museo_Etnografico_Casa_Cristo-Encamp_Encamp_Parish.html,,,http://visitandorra.com/en/culture/casa-cristo-ethnographic-museum/,,
Les Bons,42.538643,1.586349,Encamp,village,,,,,No,http://www.juanitadevis.com/Andorra/img_Cultural_Heritage/Encamp/Les_Bons.JPG,Patrimoni Cultural d'Andorra,,Private & public,vernacular architecture,Middle Ages: AD 500-1492 (6th to 15th century),Yes,Visibe,BCP-1,,https://ca.wikipedia.org/wiki/Les_Bons,http://www.encamp.ad/que-fer/cultura/itineraris-culturals/itinerari-de-les-bons,,,
Bordes de la Casa,42.535353,1.609715,Encamp,farms group,1700-1900,,,,No,http://www.juanitadevis.com/Andorra/img_Cultural_Heritage/Encamp/Bordes_de_la_Casa.JPG,Patrimoni Cultural d'Andorra,,Private,vernacular architecture,"Early modern period: 1492-1793 (16th to 18th century), Late modern period: 1793-1970 (19th to 20th century aprox.)",Yes,Visible,BCP-23,,,,,,
Bordes de Rigoder,42.538103,1.616056,Encamp,farms group,1700-1900,,,,No,http://www.juanitadevis.com/Andorra/img_Cultural_Heritage/Encamp/Bordes_de_Rigoder.JPG,Patrimoni Cultural d'Andorra,,Private,vernacular architecture,"Early modern period: 1492-1793 (16th to 18th century), Late modern period: 1793-1970 (19th to 20th century aprox.)",Yes,Visible,BCP10,,,,,,
Casa Joan Antoni,42.53504,1.582905,Encamp,house,1600-1900,,,,No,http://www.juanitadevis.com/Andorra/img_Cultural_Heritage/Encamp/Cal_Joan_Antoni.JPG,Patrimoni Cultural d'Andorra,,Private,vernacular architecture,"Early modern period: 1492-1793 (16th to 18th century), Late modern period: 1793-1970 (19th to 20th century aprox.)",No,Visible,BCP-51,,,http://www.encamp.ad/que-fer/cultura/itineraris-culturals/itinerari-del-tremat,,,
Capella de casa Joan Antoni,42.535141,1.583113,Encamp,chapel,1721,,,,No,http://www.juanitadevis.com/Andorra/img_Cultural_Heritage/Encamp/Capella_de_cal_Joan_Antoni.JPG,Patrimoni Cultural d'Andorra,,Private,Religious popular architecture,Early modern period: 1492-1793 (16th to 18th century),No,Visible,BCP-51,,,http://www.encamp.ad/que-fer/cultura/itineraris-culturals/itinerari-de-la-mosquera-i-el-tremat,,,
Cal Salvador,42.567214,1.595555,Encamp,house,1600-1900,,,,No,http://www.juanitadevis.com/Andorra/img_Cultural_Heritage/Encamp/Cal_Salvador.JPG,Patrimoni Cultural d'Andorra,,Private,vernacular architecture,"Early modern period: 1492-1793 (16th to 18th century), Late modern period: 1793-1970 (19th to 20th century aprox.)",No,Visible,BCP-20,,,,,,
Colomer de cal Rossell,42.539426,1.586622,Encamp,dovecote,1600-1900,,,,No,http://www.juanitadevis.com/Andorra/img_Cultural_Heritage/Encamp/Colomer_de_cal_Rossell.jpg,Patrimoni Cultural d'Andorra,,Private,vernacular architecture,"Early modern period: 1492-1793 (16th to 18th century), Late modern period: 1793-1970 (19th to 20th century aprox.)",No,Visible,BCP-6,,,,,,
Molí de cal Guillem,42.534666,1.583969,Encamp,mill,1600-1900,,,,No,http://www.juanitadevis.com/Andorra/img_Cultural_Heritage/Encamp/Molí_de_cal_Guillem.jpg,Patrimoni Cultural d'Andorra,,Private,vernacular architecture,"Early modern period: 1492-1793 (16th to 18th century), Late modern period: 1793-1970 (19th to 20th century aprox.)",Sí,Visible,BCP-61,https://www.tripadvisor.com/Attraction_Review-g2385338-d11779519-Reviews-Moli_del_Guillem-Encamp_Encamp_Parish.html,,http://www.encamp.ad/que-fer/cultura/itineraris-culturals/itinerari-de-la-mosquera-i-el-tremat,,,
Camí de Montalarí,42.539251,1.586953,Encamp,way,,,,,No,http://www.juanitadevis.com/Andorra/img_Cultural_Heritage/Encamp/Camí_de_Montalarí.jpg,Patrimoni Cultural d'Andorra,,Public,,"Early modern period: 1492-1793 (16th to 18th century), Late modern period: 1793-1970 (19th to 20th century aprox.)",Sí,Visible,,,,,,,
Església de Santa Coloma,42.4941528,1.4975128,Andorra la Vella,church,"800-900, 1200-1300",,http://www.cultura.ad/banc/Cerca3_Inventari.php?id=22,"https://www.google.ad/maps/@42.494139,1.4974504,3a,75y,66.87h,87.31t/data=!3m7!1e1!3m5!1sMnKGTMYwb1kAAAQvOr6J4g!2e0!3e2!7i13312!8i6656?hl",BIC Monuments,http://www.cultura.ad/banc/img/Grans/11.jpg,Patrimoni Cultural d'Andorra,22,Public,"Preromanico, Romanic",Middle Ages: AD 500-1492 (6th to 15th century),Yes in summer,Visible,A03,https://www.tripadvisor.com/Attraction_Review-g2385390-d2382733-Reviews-Santa_Coloma_Church-Santa_Coloma_Andorra_la_Vella_Parish.html,https://ca.wikipedia.org/wiki/Esgl%C3%A9sia_de_Santa_Coloma_(Andorra_la_Vella),http://turisme.andorralavella.ad/node/31/esgl%C3%A9sia-i-barri-antic-sta-coloma,http://visitandorra.com/en/culture/church-of-santa-coloma/,,
Església de Sant Esteve d’Andorra la Vella,42.5072038,1.5216923,Andorra la Vella,parish church,"1000 -1100, 1400-1500, 1600-1700, 1900-2000",,http://www.cultura.ad/banc/Cerca3_Inventari.php?id=62,"https://www.google.com/maps/place/Sant+Esteve+d'Andorra+la+Vella/@42.5072008,1.5216462,3a,75y,177h,90t/data=!3m8!1e1!3m6!1sgXs32BX6vEgAAAQfCQjM5w!2e0!3e2!6s%2F%2Fgeo1.ggpht.com%2Fcbk%3Fpanoid%3DgXs32BX6vEgAAAQfCQjM5w%26output%3Dthumbnail%26cb_client%3Dsearch.TACTILE.gps%26thumb%3D2%26w%3D129%26h%3D106%26yaw%3D177.71355%26pitch%3D0%26thumbfov%3D100!7i13312!8i6656!4m12!1m6!3m5!1s0x0:0xfe8aa7958bc2c444!2sFUNDACI%C3%93+PRIVADA+TUTELAR+D'ANDORRA!8m2!3d42.5065185!4d1.5231982!3m4!1s0x0:0xb53bfc1b0f44657a!8m2!3d42.5072039!4d1.5216923!6m1!1e1",BIC Monuments,http://www.cultura.ad/banc/img/Grans/50.jpg,Patrimoni Cultural d'Andorra,62,Public,"Romanic, Religious vernacular architecture, Granite Architecture","Middle Ages: AD 500-1492 (6th to 15th century), Early modern period: 1492-1793 (16th to 18th century), Late modern period: 1793-1970 (19th to 20th century aprox.), Actual: 1970 - now",Yes,Visible,A01,https://www.tripadvisor.com/Attraction_Review-g190392-d2383077-Reviews-Sant_Esteve_Church-Andorra_la_Vella_Andorra_la_Vella_Parish.html,https://ca.wikipedia.org/wiki/Sant_Esteve_d%27Andorra_la_Vella,http://turisme.andorralavella.ad/node/31/sant-esteve,http://visitandorra.com/en/culture/church-of-sant-esteve/,,
Església de Sant Andreu d’Andorra la Vella,42.510347,1.530714,Andorra la Vella,church,1000-1200,,http://www.cultura.ad/banc/Cerca3_Inventari.php?id=63,"https://www.google.com/maps/@42.5103535,1.5306571,3a,75y,82.42h,90t/data=!3m6!1e1!3m4!1s4GDzEV_WDAsAAAQfCQYaTA!2e0!7i13312!8i6656",BIC Monuments,http://www.cultura.ad/banc/img/Grans/51.jpg,Patrimoni Cultural d'Andorra,63,Public,Romanic,Middle Ages: AD 500-1492 (6th to 15th century),No,Visible,A02,https://www.tripadvisor.com/Attraction_Review-g190392-d10422577-Reviews-Capilla_de_Sant_Adreu-Andorra_la_Vella_Andorra_la_Vella_Parish.html,https://ca.wikipedia.org/wiki/Sant_Andreu_d%27Andorra_la_Vella,http://turisme.andorralavella.ad/node/31/capella-sant-andreu,http://visitandorra.com/en/culture/chapel-of-sant-andreu/,,
El pont de la Margineda,42.484197,1.492019,Andorra la Vella,bridge,1300-1500,,http://www.cultura.ad/banc/Cerca3_Inventari.php?id=64,,BIC Monuments,http://www.cultura.ad/banc/img/Grans/53.jpg,Patrimoni Cultural d'Andorra,64,Public,vernacular architecture,Middle Ages: AD 500-1492 (6th to 15th century),Yes,Visible,H08,https://www.tripadvisor.com/Attraction_Review-g2399815-d2385124-Reviews-Pont_de_la_Margineda-La_Margineda_Andorra_la_Vella_Parish.html,https://ca.wikipedia.org/wiki/Pont_de_la_Margineda,http://turisme.andorralavella.ad/node/31/pont-margineda,http://visitandorra.com/en/culture/la-margineda-bridge/,,
Casa de la Vall,42.506615,1.520487,Andorra la Vella,public building,1580,,http://www.cultura.ad/banc/Cerca3_Inventari.php?id=65,"https://www.google.com/maps/place/Casa+de+la+Vall/@42.506521,1.5205028,3a,75y,349.05h,90t/data=!3m6!1e1!3m4!1sQaO2iv8VQxUAAAQYPKK29w!2e0!7i13312!8i6656!4m5!3m4!1s0x0:0xde89d7ab4c5c23c9!8m2!3d42.5066149!4d1.5204874!6m1!1e1?hl",BIC Monuments,http://www.cultura.ad/banc/img/Grans/52.jpg,Patrimoni Cultural d'Andorra,65,Public,vernacular architecture,Early modern period: 1492-1793 (16th to 18th century),Yes,Visible,B01,https://www.tripadvisor.com/Attraction_Review-g190392-d2385119-Reviews-Casa_de_la_Vall-Andorra_la_Vella_Andorra_la_Vella_Parish.html,https://ca.wikipedia.org/wiki/Casa_de_la_Vall,http://turisme.andorralavella.ad/node/31/casa-vall,http://visitandorra.com/en/culture/casa-de-la-vall/,,
Casa dels Russos,42.492642,1.493299,Andorra la Vella,house,1916,,http://www.cultura.ad/banc/Cerca3_Inventari.php?id=94,,BI,http://www.cultura.ad/banc/img/Grans/82.jpg,Patrimoni Cultural d'Andorra,94,Private,Modernist,Late modern period: 1793-1970 (19th to 20th century aprox.),No,Visible,H07,https://www.tripadvisor.com/Attraction_Review-g190392-d10839060-Reviews-La_Casa_de_los_Russos-Andorra_la_Vella_Andorra_la_Vella_Parish.html,https://en.wikipedia.org/wiki/Casa_dels_Russos,http://turisme.andorralavella.ad/node/31/torre-dels-russos,,César Martinell,
Casa Massip-Dolsa,42.507678,1.524231,Andorra la Vella,multi-family housing,"1948, 1938-1949",,http://www.cultura.ad/banc/Cerca3_Inventari.php?id=95,,BI,http://www.cultura.ad/banc/img/Grans/83.jpg,Patrimoni Cultural d'Andorra,95,Private,Granite Architecture,Late modern period: 1793-1970 (19th to 20th century aprox.),No,Visible,C43,,https://en.wikipedia.org/wiki/Casa_Massip-Dolsa,,,Xavier Pla,
Hotel Bellavista (façana),42.507761,1.524534,Andorra la Vella,hotel,1938-1940,,http://www.cultura.ad/banc/Cerca3_Inventari.php?id=96,,BI,http://www.cultura.ad/banc/img/Grans/84.jpg,Patrimoni Cultural d'Andorra,96,Private,Granite Architecture,Late modern period: 1793-1970 (19th to 20th century aprox.),No,Visible,C46,,https://en.wikipedia.org/wiki/Hotel_Bellavista,,,,Facade
Antiga Vegueria Francesa,42.507892,1.524034,Andorra la Vella,multi-family housing,1941,,http://www.cultura.ad/banc/Cerca3_Inventari.php?id=97,,BI,http://www.cultura.ad/banc/img/Grans/85.jpg,Patrimoni Cultural d'Andorra,97,Private,Granite Architecture,Late modern period: 1793-1970 (19th to 20th century aprox.),No,Visible,C45,,https://ca.wikipedia.org/wiki/Antiga_Vegueria_Francesa,,,,
Casa Felipó,42.507942,1.523498,Andorra la Vella,multi-family housing,1948,,http://www.cultura.ad/banc/Cerca3_Inventari.php?id=98,,BI,http://www.cultura.ad/banc/img/Grans/86.jpg,Patrimoni Cultural d'Andorra,98,Private,Granite Architecture,Late modern period: 1793-1970 (19th to 20th century aprox.),No,Visible,C44,https://www.tripadvisor.com/Attraction_Review-g190392-d10540003-Reviews-Casa_Felipo-Andorra_la_Vella_Andorra_la_Vella_Parish.html,https://ca.wikipedia.org/wiki/Casa_Felip%C3%B3,,,Agustí Borrell,
Antiga Clínica Vilanova,42.507465,1.522264,Andorra la Vella,"clinic, house",1956,,http://www.cultura.ad/banc/Cerca3_Inventari.php?id=99,,BI,http://www.cultura.ad/banc/img/Grans/87.jpg,Patrimoni Cultural d'Andorra,99,Private,Granite Architecture,Late modern period: 1793-1970 (19th to 20th century aprox.),No,Visible,H03,,https://ca.wikipedia.org/wiki/Antiga_Cl%C3%ADnica_Vilanova,,,,
Farràs House,42.509017,1.528823,Andorra la Vella,house,1952-1956,,http://www.cultura.ad/banc/Cerca3_Inventari.php?id=100,,BI,http://www.cultura.ad/banc/img/Grans/88.jpg,Patrimoni Cultural d'Andorra,100,Private,modern movement (International Style),Late modern period: 1793-1970 (19th to 20th century aprox.),No,Visible,C48,,,,,Josep maria Sostres,
Escoles d'Andorra la Vella,42.505761,1.515001,Andorra la Vella,school,1962-1965,,http://www.cultura.ad/banc/Cerca3_Inventari.php?id=101,,BI,http://www.cultura.ad/banc/img/Grans/94.jpg,Patrimoni Cultural d'Andorra,101,Public,Granite Architecture,Late modern period: 1793-1970 (19th to 20th century aprox.),No,Visible,,,,,,Josep Canela,
Font de la plaça d'Andorra,42.506853,1.520982,Andorra la Vella,fountain,1900-2000,,http://www.cultura.ad/banc/Cerca3_Inventari.php?id=102,,BI,http://www.cultura.ad/banc/img/Grans/89.jpg,Patrimoni Cultural d'Andorra,102,Public,Granite Architecture,"Late modern period: 1793-1970 (19th to 20th century aprox.), Actual: 1970 - now",Yes,Visible,H12,,,,,,
